state,x,y
Andhra Pradesh,-59,-136
Arunachal Pradesh,193,116
Assam,162,73
Bihar,71,57
Chhattisgarh,-8,-19
Goa,-145,-129
Gujarat,-178,17
Haryana,-92,126
Himachal Pradesh,-74,169
Jammu and Kashmir,-89,219
Jharkhand,48,23
Karnataka,-114,-142
Kerala,-104,-230
Madhya Pradesh,-84,18
Maharashtra,-126,-51
Manipur,185,39
Meghalaya,133,53
Mizoram,168,14
Nagaland,196,68
Orissa,32,-36
Punjab,-106,155
Rajasthan,-126,77
Sikkim,101,91
Tamil Nadu,-72,-207
Telangana,-60,-87
Tripura,149,22
Uttar Pradesh,-44,82
Uttarakhand,-41,138
West Bengal,92,11
